Year,Make,Model,Color,Trans,4x4,Top,Odometer,Price
2017.0,HYUNDAI,SANTA SP 2.4,WHITE,A,AWD,HT,17833.0,18000.0
2017.0,HYUNDAI,SANTA SP 2.4,WHITE,A,AWD,HT,22015.0,17600.0
2018.0,HYUNDAI,SANTA SP 2.4,WHITE,A,AWD,HT,135573.0,12100.0
2012.0,HYUNDAI,SONAT LTD,BLUE,A,4X2,PN,92977.0,4800.0
2018.0,HYUNDAI,SONAT 2.4 SE,BLACK,A,4X2,HT,36938.0,13000.0
2018.0,HYUNDAI,SONAT 2.4SEL,WHITE,A,4X2,HT,38241.0,12400.0
2015.0,HYUNDAI,SONAT SE,GREY,A,4X2,HT,139142.0,3400.0
2016.0,HYUNDAI,SONAT 2.4 SE,WHITE,A,4X2,HT,95414.0,6900.0
2016.0,HYUNDAI,TUCSON LTD,BLACK,A,AWD,PN,39401.0,17800.0
2017.0,HYUNDAI,TUCSON SE,BROWN,A,AWD,HT,34455.0,14200.0
2017.0,HYUNDAI,TUCSON SE,WHITE,A,AWD,HT,47407.0,13900.0
2017.0,HYUNDAI,TUCSON SE,RED,A,AWD,HT,27439.0,15700.0
2017.0,HYUNDAI,TUCSON VAL,BLACK,A,AWD,PN,19790.0,19500.0
2017.0,HYUNDAI,TUCSON VAL,GREY,A,AWD,PN,34108.0,18900.0
2015.0,HYUNDAI,TUCSON GLS,BLACK,A,4X2,HT,50548.0,6400.0
2017.0,INFINITI,QX30 PRM,BLUE,A,AWD,PN,12643.0,20900.0
2017.0,INFINITI,QX50,GREY,A,AWD,SR,36425.0,20900.0
2017.0,INFINITI,QX50,WHITE,A,AWD,SR,32325.0,20400.0
2017.0,INFINITI,QX50,BLACK,A,AWD,SR,24435.0,21900.0
2017.0,INFINITI,QX60,GREY,A,AWD,SR,35226.0,24700.0
2017.0,INFINITI,QX60,SILVER,A,AWD,SR,34436.0,25500.0
2017.0,INFINITI,Q50 PRM,SILVER,A,AWD,SR,28746.0,23500.0
2017.0,INFINITI,Q50 PRM,BLACK,A,AWD,SR,49313.0,20100.0
2017.0,INFINITI,Q50 RED SPT,WHITE,A,AWD,SR,41959.0,29400.0
2017.0,INFINITI,Q50 SIGNAT,BROWN,A,AWD,SR,36267.0,21800.0
2017.0,INFINITI,Q50 SIGNAT,BLACK,A,AWD,SR,21836.0,23200.0
2017.0,INFINITI,Q50 SIGNAT,GREY,A,AWD,SR,22336.0,22600.0
2017.0,INFINITI,Q50 SIGNAT,BLACK,A,AWD,SR,23064.0,21800.0
2018.0,INFINITI,Q50 SPT,SILVER,A,AWD,SR,23747.0,28100.0
2017.0,INFINITI,Q50 PRM,GREY,A,AWD,SR,34395.0,19300.0
2017.0,INFINITI,Q50 PRM,BLACK,A,AWD,SR,12671.0,20600.0
2017.0,INFINITI,Q50 PRM,BLACK,A,AWD,SR,39602.0,17700.0
2017.0,INFINITI,Q60 PRM,WHITE,A,AWD,SR,41993.0,21100.0
2017.0,INFINITI,Q60 PRM,BLACK,A,AWD,SR,19970.0,26600.0
2017.0,INFINITI,Q60 PRM,BLACK,A,AWD,SR,27432.0,26400.0
2017.0,INFINITI,Q70,GREY,A,AWD,SR,26895.0,28600.0
