Year,Make,Model,Color,Trans,4x4,Top,Odometer,Price
2017,HYUNDAI,SANTA SP 2.4,WHITE,A,AWD,HT,17833,18000.0
2017,HYUNDAI,SANTA SP 2.4,WHITE,A,AWD,HT,22015,17600.0
2018,HYUNDAI,SANTA SP 2.4,WHITE,A,AWD,HT,135573,12100.0
2013,HYUNDAI,SONAT GLS,WHITE,A,4X2,HT,128885,2250.0
2013,HYUNDAI,SONAT GLS,GREY,A,4X2,HT,101459,2250.0
2012,HYUNDAI,SONAT LTD,BLUE,A,4X2,PN,92977,4800.0
2018,HYUNDAI,SONAT 2.4 SE,BLACK,A,4X2,HT,36938,13000.0
2018,HYUNDAI,SONAT 2.4SEL,WHITE,A,4X2,HT,38241,12400.0
2015,HYUNDAI,SONAT SE,GREY,A,4X2,HT,139142,3400.0
2016,HYUNDAI,SONAT 2.4 SE,WHITE,A,4X2,HT,95414,6900.0
2007,HYUNDAI,SONAT LTD,BLACK,A,4X2,SR,148664,800.0
2009,HYUNDAI,SONATA 4CGLS,SILVER,A,4X2,HT,144234,1100.0
2010,HYUNDAI,TUCSON GLS,RED,A,AWD,HT,142812,1500.0
2016,HYUNDAI,TUCSON LTD,BLACK,A,AWD,PN,39401,17800.0
2017,HYUNDAI,TUCSON SE,BROWN,A,AWD,HT,34455,14200.0
2017,HYUNDAI,TUCSON SE,WHITE,A,AWD,HT,47407,13900.0
2017,HYUNDAI,TUCSON SE,RED,A,AWD,HT,27439,15700.0
2017,HYUNDAI,TUCSON VAL,BLACK,A,AWD,PN,19790,19500.0
2017,HYUNDAI,TUCSON VAL,GREY,A,AWD,PN,34108,18900.0
2015,HYUNDAI,TUCSON GLS,BLACK,A,4X2,HT,50548,6400.0
2008,INFINITI,G35 X,WHITE,A,AWD,SR,254764,500.0
2017,INFINITI,QX30 PRM,BLUE,A,AWD,PN,12643,20900.0
2017,INFINITI,QX50,GREY,A,AWD,SR,36425,20900.0
2017,INFINITI,QX50,WHITE,A,AWD,SR,32325,20400.0
2017,INFINITI,QX50,BLACK,A,AWD,SR,24435,21900.0
2017,INFINITI,QX60,GREY,A,AWD,SR,35226,24700.0
2017,INFINITI,QX60,SILVER,A,AWD,SR,34436,25500.0
2017,INFINITI,Q50 PRM,SILVER,A,AWD,SR,28746,23500.0
2017,INFINITI,Q50 PRM,BLACK,A,AWD,SR,49313,20100.0
2017,INFINITI,Q50 RED SPT,WHITE,A,AWD,SR,41959,29400.0
2017,INFINITI,Q50 SIGNAT,BROWN,A,AWD,SR,36267,21800.0
2017,INFINITI,Q50 SIGNAT,BLACK,A,AWD,SR,21836,23200.0
2017,INFINITI,Q50 SIGNAT,GREY,A,AWD,SR,22336,22600.0
2017,INFINITI,Q50 SIGNAT,BLACK,A,AWD,SR,23064,21800.0
2018,INFINITI,Q50 SPT,SILVER,A,AWD,SR,23747,28100.0
2017,INFINITI,Q50 PRM,GREY,A,AWD,SR,34395,19300.0
2017,INFINITI,Q50 PRM,BLACK,A,AWD,SR,12671,20600.0
2017,INFINITI,Q50 PRM,BLACK,A,AWD,SR,39602,17700.0
2017,INFINITI,Q60 PRM,WHITE,A,AWD,SR,41993,21100.0
2017,INFINITI,Q60 PRM,BLACK,A,AWD,SR,19970,26600.0
2017,INFINITI,Q60 PRM,BLACK,A,AWD,SR,27432,26400.0
2017,INFINITI,Q70,GREY,A,AWD,SR,26895,28600.0
2016,JEEP,CHER LTTD,BLUE,A,4X2,HT,55993,13400.0
2019,JEEP,CHER LTD,WHITE,A,4X4,PN,15048,23900.0
2019,JEEP,CHER LTD,RED,A,4X4,PN,2509,26500.0
2017,JEEP,CHER TRLHWK,TAN,A,4X4,HT,21680,22800.0
2019,JEEP,CHER TRLHWK,BLUE,A,4X4,HT,19069,24400.0
2019,JEEP,CHER TRLHWK,BLUE,A,4X4,HT,29807,23200.0
2017,JEEP,CHER LTTD,GREY,A,4X4,HT,53667,15400.0
2019,JEEP,CHER LAT,SILVER,A,4X4,HT,43016,17700.0
2019,JEEP,CHER LAT +,SILVER,A,4X4,HT,19462,19700.0
2017,JEEP,CHER LTD,BLACK,A,4X4,PN,41691,19200.0
2018,JEEP,CHER LTD,GREY,A,4X4,HT,6520,22700.0
2007,JEEP,COMANDER LTD,BLACK,A,4X4,SR,130724,3500.0
2019,JEEP,COMP LTD,WHITE,A,4X2,HT,37333,14400.0
2020,JEEP,COMP SPT,BLUE,A,4X2,HT,5004,4100.0
2017,JEEP,COMP SPT,BLUE,A,4X2,HT,25433,12500.0
2016,JEEP,COMP SPT SE,BLACK,A,4X2,HT,81876,8300.0
2018,JEEP,COMPASS 4X4,GRAY,A,4X4,HT,31260,14000.0
2018,JEEP,COMP LAT,WHITE,A,4X4,HT,44978,16000.0
2018,JEEP,COMP LAT,RED,A,4X4,HT,31001,17000.0
2018,JEEP,COMP LAT,RED,A,4X4,SR,38719,16400.0
2018,JEEP,COMP LAT,BLUE,A,4X4,HT,17176,18100.0
2018,JEEP,COMP LAT,GREY,A,4X4,HT,20391,16500.0
2018,JEEP,COMP LAT,BLUE,A,4X4,HT,12773,17900.0
2018,JEEP,COMP LAT,GREY,A,4X4,HT,31085,16900.0
2018,JEEP,COMP LAT,WHITE,A,4X4,HT,26282,17000.0
2018,JEEP,COMP LAT,WHITE,A,4X4,HT,27989,16400.0
2018,JEEP,COMP LAT,BLACK,A,4X4,HT,27650,16200.0
2018,JEEP,COMP LTD,WHITE,A,4X4,PN,26788,18000.0
2018,JEEP,COMP LTD,BLACK,A,4X4,HT,4840,22300.0
2018,JEEP,COMP LTD,SILVER,A,4X4,PN,24964,18800.0
2019,JEEP,COMP LTD,GREY,A,4X4,HT,11739,20800.0
2017,JEEP,COMP HGH ALT,BLUE,A,4X4,SR,42277,13800.0
2017,JEEP,COMP HGH ALT,BLACK,A,4X4,SR,30015,11800.0
2017,JEEP,COMP HGH ALT,BLACK,A,4X4,SR,38585,14600.0
2017,JEEP,COMP LTTD,BLUE,A,4X4,PN,29355,15400.0
2017,JEEP,COMP LTTD,WHITE,A,4X4,HT,29366,16600.0
2017,JEEP,COMP LTD,SILVER,A,4X4,PN,43733,17700.0
2017,JEEP,COMP LTD,GREY,A,4X4,PN,23768,18100.0
2017,JEEP,COMP LTD,SILVER,A,4X4,PN,27708,20000.0
2009,JEEP,COMP SPT,SILVER,A,4X4,HT,151427,1100.0
2016,JEEP,COMP SPT,GREY,A,4X4,HT,56034,10200.0
2017,JEEP,COMP TRLHWK,RED,A,4X4,SR,38385,19200.0
2017,JEEP,G CHER ALT,BLACK,A,4X4,HT,41412,26300.0
2017,JEEP,G CHER ALT,WHITE,A,4X4,SR,32779,27000.0
2017,JEEP,G CHER ALT,GREY,A,4X4,SR,49702,25300.0
2018,JEEP,G CHER ALT,RED,A,4X4,HT,21071,29400.0
2017,JEEP,G CHER LAR,GREY,A,4X4,HT,47673,17900.0
2018,JEEP,G CHER LAR E,BLACK,A,4X4,HT,19058,25000.0
2017,JEEP,G CHER LTD,WHITE,A,4X4,SR,40591,25900.0
2017,JEEP,G CHER LTD,RED,A,4X4,HT,29438,23800.0
2017,JEEP,G CHER LTD,GREY,A,4X4,SR,28771,27300.0
2017,JEEP,G CHER LTD,BLACK,A,4X4,SR,27540,25000.0
2017,JEEP,G CHER LTD,BROWN,A,4X4,SR,31842,25100.0
2017,JEEP,G CHER LTD,WHITE,A,4X4,HT,40619,23400.0
2017,JEEP,G CHER LTD,WHITE,A,4X4,PN,26009,24600.0
2018,JEEP,G CHER OVL,BLACK,A,4X4,SR,40890,29000.0
2017,JEEP,G CHER TRLHK,WHITE,A,4X4,PN,37034,28200.0
2011,JEEP,G CHER LTD,BLUE,A,4X4,PN,176584,3000.0
2017,JEEP,G CHER OVL,BLACK,A,4X4,SR,42206,28200.0
2017,JEEP,PATR HGH ALT,BLACK,A,4X2,SR,35044,12600.0
2017,JEEP,PATR SPT SE,SILVER,A,4X2,HT,76742,9600.0
2017,JEEP,PATR HGH ALT,GREY,A,4X4,SR,25724,15600.0
2012,JEEP,PATR LTTD,BLACK,A,4X4,HT,72990,8500.0
2018,JEEP,RENEG LAT,GREY,A,4X2,HT,41257,11900.0
2017,JEEP,RENEG DESHWK,TAN,A,4X4,HT,53214,16800.0
2017,JEEP,RENEG LTTD,GREY,A,4X4,HT,35241,15900.0
2017,JEEP,RENEG LTTD,ORANGE,A,4X4,HT,34851,15400.0
2017,JEEP,RENEG LTTD,SILVER,A,4X4,HT,28039,16000.0
2017,JEEP,RENEG LTTD,BLACK,A,4X4,HT,19561,16800.0
2017,JEEP,RENEG LTTD,BLACK,A,4X4,HT,28121,15600.0
2017,JEEP,RENEG LTTD,WHITE,A,4X4,HT,35106,15300.0
2017,JEEP,RENEG LTTD,BLACK,A,4X4,HT,29021,15700.0
2018,JEEP,RENEG LAT,SILVER,A,4X4,HT,9429,18000.0
2018,JEEP,RENEG LAT,GREY,A,4X4,HT,15929,17300.0
2016,JEEP,RENEG LTD,BLACK,A,4X4,HT,63810,14600.0
2016,JEEP,WRANG SAH,WHITE,6,4X4,HC,53519,28300.0
2010,KIA,FORTE EX,RED,A,4X2,HT,131300,600.0
2019,KIA,FORTE EX,WHITE,A,4X2,HT,8794,14800.0
2015,KIA,FORTE LX,BLACK,A,4X2,HT,56124,4700.0
2015,KIA,FORTE LX,BLACK,A,4X2,HT,133212,3000.0
2017,KIA,FORTE LX,BLUE,A,4X2,HT,41957,9100.0
2017,KIA,FORTE LX,WHITE,A,4X2,HT,36696,10000.0
2017,KIA,FORTE LX,WHITE,A,4X2,HT,25017,11400.0
2017,KIA,FORTE LX,GREY,A,4X2,HT,44403,10200.0
2017,KIA,FORTE LX,BLACK,A,4X2,HT,24644,11600.0
2017,KIA,FORTE LX,BLACK,A,4X2,HT,19823,11600.0
2017,KIA,FORTE LX,BLUE,A,4X2,HT,51960,9400.0
2017,KIA,FORTE LX,GREY,A,4X2,HT,24650,11300.0
2018,KIA,FORTE LX,BLUE,A,4X2,HT,60209,7100.0
2018,KIA,FORTE LX,BLUE,A,4X2,HT,20131,11300.0
2018,KIA,FORTE LX,RED,A,4X2,HT,65658,3100.0
2019,KIA,FORTE LXS,GREY,A,4X2,HT,5396,14100.0
2017,KIA,NIRO LX HY,BLACK,A,4X2,HT,35482,13700.0
2017,KIA,OPTIMA,BLACK,A,4X2,HT,25867,13200.0
2013,KIA,OPTIM EX,BLACK,A,4X2,SR,109260,5300.0
2013,KIA,OPTIM EX,WHITE,A,4X2,SR,69321,4700.0
2014,KIA,OPTIM EX,BLACK,A,4X2,HT,97633,7600.0
2017,KIA,OPTIM EX,WHITE,A,4X2,PN,22555,17000.0
2017,KIA,OPTIM EX,BLUE,A,4X2,HT,18171,16400.0
2017,KIA,OPTIM EX,SILVER,A,4X2,SR,26748,16600.0
2018,KIA,OPTIM EX 2.4,WHITE,A,4X2,PN,32705,15600.0
2019,KIA,OPTIM EX,WHITE,A,4X2,PN,6465,19700.0
2014,KIA,OPTIM LX HY,WHITE,A,4X2,HT,105736,7400.0
2015,KIA,OPTIM LX,GREY,A,4X2,HT,32189,11500.0
2016,KIA,OPTIM LX,WHITE,A,4X2,HT,32344,12000.0
2016,KIA,OPTIM LX,WHITE,A,4X2,HT,25193,12300.0
2017,KIA,OPTIM LX,BLACK,A,4X2,HT,36338,12000.0
2017,KIA,OPTIM LX,GREY,A,4X2,HT,35270,12000.0
2018,KIA,OPTIM LX 2.4,BLACK,A,4X2,HT,21827,13600.0
2018,KIA,OPTIM LX 2.4,SILVER,A,4X2,HT,39507,12200.0
2018,KIA,OPTIM LX 2.4,GREY,A,4X2,HT,24689,13700.0
2018,KIA,OPTIM LX 2.4,BLUE,A,4X2,HT,26937,13300.0
2018,KIA,OPTIM LX 2.4,SILVER,A,4X2,HT,21932,13800.0
2019,KIA,OPTIM LX,WHITE,A,4X2,HT,39038,12500.0
2020,KIA,OPTIM LX,PURPLE,A,4X2,HT,36201,12500.0
2018,KIA,OPTIM S 2.4,BLUE,A,4X2,HT,37456,13000.0
2018,KIA,OPTIM SX 2.0,BLACK,A,4X2,SR,38254,18000.0
2009,KIA,RIO LX,WHITE,A,4X2,HT,120890,1600.0
2019,KIA,RIO S,RED,A,4X2,HT,37660,6900.0
2005,KIA,SEDON EX,RED,A,4X2,HT,98308,1500.0
2017,KIA,SEDON LX,RED,A,4X2,HT,65076,14500.0
2011,KIA,SOREN EX,BLACK,A,AWD,HT,150825,4000.0
2011,KIA,SOREN EX,RED,A,AWD,SR,133397,3500.0
2018,KIA,SOREN EX,GREY,A,AWD,PN,39344,22300.0
2012,KIA,SOREN LX,TAN,A,AWD,HT,120088,3600.0
2017,KIA,SOREN LX,RED,A,AWD,HT,38397,18600.0
2017,KIA,SOREN LX,PUPRLE,A,AWD,HT,28960,18600.0
2017,KIA,SOREN LX,BLACK,A,AWD,HT,23970,18000.0
2017,KIA,SOREN LX,BLACK,A,AWD,HT,15450,20900.0
2018,KIA,SOREN LX,BLUE,A,AWD,HT,28345,18600.0
2018,KIA,SOREN LX,SILVER,A,AWD,HT,33729,19400.0
2017,KIA,SOREN SX,GREY,A,AWD,SR,58552,20800.0
2017,KIA,SOREN SX,WHITE,A,AWD,SR,35898,25300.0
2017,KIA,SOREN SX,GREY,A,AWD,SR,31353,24800.0
2017,KIA,SOREN LX,GREY,A,AWD,HT,75490,11900.0
2017,KIA,SOREN LX,WHITE,A,AWD,HT,26437,17200.0
2017,KIA,SOREN LX,PUPRLE,A,AWD,HT,40599,14700.0
2017,KIA,SOREN LX,GREY,A,AWD,HT,25263,16600.0
2017,KIA,SOREN LX,RED,A,AWD,HT,29568,16600.0
2017,KIA,SOREN LX,BLACK,A,AWD,HT,43195,16000.0
2017,KIA,SOREN LX,GREY,A,AWD,HT,41322,15600.0
2018,KIA,SOREN LX,RED,A,AWD,HT,23189,18000.0
2018,KIA,SOREN LX,WHITE,A,AWD,HT,47269,17300.0
2018,KIA,SOREN LX,BLUE,A,AWD,HT,33102,18100.0
2016,KIA,SOREN LX,GREY,A,4X2,HT,68308,11600.0
2016,KIA,SOREN LX,PUPRLE,A,4X2,HT,34958,11700.0
2017,KIA,SOREN LX,WHITE,A,4X2,HT,54351,13600.0
2017,KIA,SOREN LX,RED,A,4X2,HT,52506,12900.0
2017,KIA,SOREN LX,GREY,A,4X2,HT,26101,15700.0
2011,KIA,SOUL +,SILVER,A,4X2,HT,118588,4800.0
2018,KIA,SOUL +,GREEN,A,4X2,HT,42801,11800.0
2013,KIA,SOUL,SILVER,A,4X2,HT,138171,4200.0
2016,KIA,SOUL,SILVER,A,4X2,HT,32957,11000.0
2017,KIA,SPORT EX,BLACK,A,AWD,SR,88341,14900.0
2017,KIA,SPORT EX,SILVER,A,AWD,PN,23982,18400.0
2018,KIA,SPORT EX,SILVER,A,AWD,HT,30060,17800.0
2019,KIA,SPORT EX,RED,A,AWD,SR,25736,20800.0
2017,KIA,SPORT LX,WHITE,A,AWD,HT,29729,15100.0
2017,KIA,SPORT LX,BLACK,A,AWD,HT,27685,14600.0
2018,KIA,SPORT LX,RED,A,AWD,HT,25132,16200.0
2020,KIA,SPORT LX,BLACK,A,AWD,HT,21244,14300.0
2016,KIA,SPORT LX,SILVER,A,4X2,HT,62682,8500.0
2017,KIA,SPORT LX,BLACK,A,4X2,HT,30650,13300.0
2017,LAND ROVER,RANG R HSE,SILVER,A,4X4,PN,18431,60000.0
2009,LAND ROVER,RRS HSE,WHITE,A,4X4,SR,142503,6500.0
2019,LANDROVER,DISC HSE,WHITE,A,4X4,SR,10189,48750.0
2019,LEXUS,ES 350 LUX,GREY,A,4X2,PN,5413,38300.0
2013,LEXUS,GS 350,GREY,A,AWD,SR,111017,14100.0
2013,LEXUS,LX 570,SILVER,A,4X4,SR,77685,33800.0
2017,LEXUS,NX TURBO,WHITE,A,AWD,SR,21474,28100.0
2017,LEXUS,NX F SPORT,BLACK,A,AWD,SR,41810,26400.0
2017,LEXUS,RX 350,GREY,A,AWD,SR,21853,32400.0
2017,LEXUS,RX 350,WHITE,A,AWD,SR,28825,33200.0
2015,LINCOLN,MKC,SILVER,A,AWD,HT,43434,16200.0
2017,LINCOLN,MKC RES,GOLD,A,AWD,PN,29115,22800.0
2017,LINCOLN,MKC SEL,BLACK,A,4X2,HT,25210,20300.0
2015,LINCOLN,MKS,WHITE,A,4X2,HT,39878,15900.0
2018,LINCOLN,MKX RES,WHITE,A,AWD,PN,21739,31200.0
2017,LINCOLN,MKZ RES,BLACK,A,AWD,SR,45243,7000.0
2017,LINCOLN,MKZ SEL,GREEN,A,AWD,SR,45335,17200.0
2019,LINCOLN,MKZ HY,BLACK,A,4X2,HT,4815,23900.0
2017,LINCOLN,MKZ SEL,RED,A,4X2,SR,17319,18900.0
2019,LINCOLN,NAUT RES,GREY,A,AWD,PN,13601,41800.0
2019,LINCOLN,NAUT,WHITE,A,4X2,HT,10235,30500.0
2016,MAZDA,CX-5 TRG,BLUE,A,AWD,SR,91405,11800.0
2018,MAZDA,CX-5 TRG,SILVER,A,4X2,HT,83672,13100.0
2019,MAZDA,CX-5 TRG,SILVER,A,4X2,HT,28154,18200.0
2011,MAZDA,MAZDA3 I TRG,BLACK,A,4X2,SR,162377,1400.0
2007,MAZDA,MAZDA3 S SPT,GOLD,A,4X2,SR,148407,700.0
2018,MAZDA,MAZDA3 TRG,BLACK,A,4X2,HT,59801,10800.0
2010,MAZDA,MAZDA3 I TRG,BLACK,A,4X2,HT,110009,600.0
2009,MAZDA,MAZDA5 TOUR,GREY,A,4X2,SR,131576,1200.0
2003,MAZDA,MAZDA6 I,RED,A,4X2,HT,88083,1500.0
2006,MAZDA,MAZDA6 I,BLUE,A,4X2,SR,206899,400.0
2012,MAZDA,MAZDA6 I TRG,BLUE,A,4X2,HT,164240,1800.0
2018,MERCEDES,CLA250C,ARC WHT,A,4X2,HT,20906,24500.0
2018,MERCEDES,CLA250C,POL SIL,A,4X2,PN,17821,15000.0
2018,MERCEDES,CLA250C4,MNT GRY,A,AWD,PN,20958,24750.0
2020,MERCEDES,CLS 450C4,PLR WHT,A,AWD,SR,2522,70250.0
2017,MERCEDES,C300C4,IRI SIL,A,AWD,SR,43335,27250.0
2018,MERCEDES,C300W4,PLR WHT,A,AWD,PN,24682,27500.0
2017,MERCEDES,C300W4,BLACK,A,AWD,PN,41170,23250.0
2017,MERCEDES,C300W4,GREY,A,AWD,PN,24617,25500.0
2017,MERCEDES,C300W4,BLACK,A,AWD,PN,39188,22000.0
2017,MERCEDES,C300W4,BLACK,A,AWD,PN,52172,20250.0
2017,MERCEDES,C300W4,LUN BLU,A,AWD,PN,23472,25000.0
2017,MERCEDES,C300W4,GREY,A,AWD,PN,35982,24000.0
2017,MERCEDES,C300W4,PLR WHT,A,AWD,PN,38284,23000.0
2017,MERCEDES,E300W4,IRI SIL,A,AWD,SR,27692,31750.0
2017,MERCEDES,E300W4,BLACK,A,AWD,SR,21026,32750.0
2007,MERCEDES,E350W,BLACK,A,4X2,SR,140268,3000.0
2018,MERCEDES,E400C,BLACK,A,4X2,SR,22583,44750.0
2015,MERCEDES,E400W4,PLR WHT,A,AWD,PN,62817,19500.0
2018,MERCEDES,GLA250W4,NIT BLK,A,AWD,PN,31443,24000.0
2018,MERCEDES,GLA250W4,MNT GRY,A,AWD,SR,17051,25750.0
2018,MERCEDES,GLA250W4,NIT BLK,A,AWD,HT,34841,24000.0
2017,MERCEDES,GLA250W4,ARC WHT,A,AWD,PN,51740,18750.0
2017,MERCEDES,GLA250W4,NIT BLK,A,AWD,PN,36098,23750.0
2017,MERCEDES,GLC300W4,PLR WHT,A,AWD,HT,33105,26250.0
2017,MERCEDES,GLC300W4,LUN BLU,A,AWD,PN,27972,29000.0
2017,MERCEDES,GLC300W4,GREY,A,AWD,PN,32708,29250.0
2017,MERCEDES,GLC300W4,IRI SIL,A,AWD,HT,34577,27000.0
2017,MERCEDES,GLC300W4,PLR WHT,A,AWD,PN,35265,29000.0
2017,MERCEDES,GLC300W4,IRI SIL,A,AWD,PN,22453,31750.0
2018,MERCEDES,GLE350W4,GREY,A,AWD,SR,31667,36000.0
2018,MERCEDES,GLE350W4,BLACK,A,AWD,SR,77963,26250.0
2017,MERCEDES,GLE350W4,GREY,A,AWD,SR,42408,28500.0
2017,MERCEDES,GLE350W4,BLACK,A,AWD,SR,41704,29250.0
2017,MERCEDES,GLE350W4,IRI SIL,A,AWD,SR,62881,28500.0
2017,MERCEDES,GLE350W4,GREY,A,AWD,SR,43314,29750.0
2017,MERCEDES,GLE350W4,BLACK,A,AWD,SR,25971,31000.0
2017,MERCEDES,GLS450W4,GREY,A,AWD,SR,59035,32250.0
2017,MERCEDES,GLS450W4,BLACK,A,AWD,PN,60147,34000.0
2017,MERCEDES,GLS450W4,GREY,A,AWD,PN,31519,38250.0
2017,MERCEDES,GLS450W4,LUN BLU,A,AWD,SR,23424,39250.0
2017,MERCEDES,GLS450W4,IRI SIL,A,AWD,PN,28806,42250.0
2017,MERCEDES,GLS450W4,BLACK,A,AWD,SR,28997,36250.0
2017,MERCEDES,GLS550W4,PLR WHT,A,AWD,SR,54848,47000.0
2017,MERCEDES,GLS550W4,PAL SIL,A,AWD,SR,41255,51750.0
2015,MERCEDES,ML350W4,IRI SIL,A,AWD,PN,89266,17250.0
2019,MERCEDES,S560A,MAG BLK,A,4X2,CV,3846,106500.0
2008,MERCURY,MARINER PRMR,GREY,A,4X4,SR,106185,2100.0
2011,MINI,COOP,BLACK,A,4X2,SR,96039,1800.0
2019,MITSUBISHI,ECLIP ES,BLACK,A,4X4,HT,12879,12000.0
2010,MITSUBISHI,GALANT FE,WHITE,A,4X2,HT,134927,2500.0
2019,MITSUBISHI,MIRAGE G4 RF,RED,A,4X2,HT,12252,10400.0
2018,MITSUBISHI,OUTLAND ES,WHITE,A,4X2,HT,66962,10900.0
2019,MITSUBISHI,OUTLAND LE,SILVER,A,4X2,HT,38412,15000.0
2019,MITSUBISHI,OUTLA SPT ES,BLACK,A,4X2,HT,34923,8750.0
2015,MITSUBISHI,OUTLA SPT ES,WHITE,A,4X4,HT,73955,10500.0
2016,MITSUBISHI,OUTLA SPT ES,GRAY,A,4X4,HT,80191,10200.0
2013,MITSUBISHI,OUTLAND SE,SILVER,A,4X4,HT,108854,4200.0
2019,MITSUBISHI,OUTLAND SEL,BLACK,A,4X4,HT,29409,15900.0
2019,MITSUBISHI,OUTLAND SEL,RED,A,4X4,HT,32320,16200.0
2019,NISSAN,ALT 2.5 SV,GREY,A,4X2,SR,19109,17900.0
2017,NISSAN,ALTIMA SEDAN,WHITE,A,4X2,HT,53523,11500.0
2017,NISSAN,ALTIMA SEDAN,BLACK,A,4X2,SR,44163,11900.0
2020,NISSAN,ALTIMA 2.5 P,GREY,A,AWD,SR,11212,23100.0
2020,NISSAN,ALTIMA 2.5 S,SILVER,A,4X2,HT,7118,15900.0
2020,NISSAN,ALTIMA 2.5 S,GREY,A,4X2,HT,6196,17900.0
2013,NISSAN,ALT,SILVER,A,4X2,HT,49983,9000.0
2007,NISSAN,ALT 2.5 S,WHITE,A,4X2,HT,132401,1600.0
2010,NISSAN,ALT 2.5 S,BLACK,A,4X2,HT,192363,1800.0
2015,NISSAN,ALT 2.5 S,GREY,A,4X2,HT,81529,5900.0
2018,NISSAN,ALT 2.5 S,BLACK,A,4X2,HT,15640,14700.0
2018,NISSAN,ALT 2.5 S,GREY,A,4X2,HT,74491,9500.0
2018,NISSAN,ALT 2.5 SR,GREY,A,4X2,HT,73139,12400.0
